,Date,Study,Study Link,Journal,Study Type,Addressed Population,Challenge,Solution,Measure of Evidence,Added On
10,2020-04-15,Separate Fever Clinics Prevent the Spread of COVID-19 and Offload Emergency Resources: Analysis from a large tertiary hospital in China,https://www.medrxiv.org/content/10.1101/2020.04.03.20051813v2,medRXiv Preprint,Cross-sectional study,Critical Care Units,Hospital capacity shortages,"Implementation of 'fever clinics' to mitigate spread, increase screening, and decrease hospital admissions during the pandemic.Compared to before the outbreak, patients transferred from the FC to ED decreased significantly [39.21% vs 15.75%, p<0.001] and tended to spend more time in the FC [55 vs 203 mins, p<0.001]. For critically-ill patients waiting for a screening result, the total length of stay in the FC was 22 mins before the outbreak, compared to 442 mins after the outbreak (p< 0.001). The number of in-hospital deaths of critical-care patients seen first in the FC was 9 of 29 patients before the outbreak and 21 of 38 after (p<0.050). Nineteen COVID-19 cases were confirmed in the FC, but no other patients or medical care providers were cross-infected. Conclusion: The workload of the FC increased after the COVID-19 outbreak and effectively prevented COVID-19 from spreading in the hospital as well as offload ED resources.",patients: 6365,4/29/20
11,2020-04-15,UV Sterilization of Personal Protective Equipment with Idle Laboratory Biosafety Cabinets During the Covid-19 Pandemic,https://www.medrxiv.org/content/10.1101/2020.03.25.20043489v2,medRXiv Preprint,Expert Review,Sterile services,PPE shortage,"PPE decontamination with ultraviolet (UV) radiation in biosafety cabinets (BSCs).  Effective decontamination of N95 respirator masks or surgical masks requires UV-C doses of greater than 1 Jcm−2, which would take a minimum of 4.3 hours per side when placing the N95 at the bottom of the BSCs tested in this study. Elevating the N95 mask by 48 cm (so that it lies 19 cm from the top of the BSC) would enable the delivery of germicidal doses of UV-C in 62 minutes per side. Effective decontamination of face shields likely requires a much lower UV-C dose, and may be achieved by placing the face shields at the bottom of the BSC for 20 minutes per side.",-,4/29/20
12,2020-04-14,The Importance of Minimum Dosage Necessary for UVC Decontamination of N95 Respirators during the COVID-19 Pandemic,https://www.ncbi.nlm.nih.gov/pubmed/32291807,"Photodermatology, photoimmunology, & photomedicine",Expert Review,Sterile services,PPE shortage,Use UVC decontamination methods. Ensure that at least 1 J/cm2 is used to all surfaces.,-,4/22/20
13,2020-04-13,Early Impact of COVID-19 on Transplant Center Practices and Policies in the United States,https://www.ncbi.nlm.nih.gov/pubmed/32282982,American Journal of Transplantation,Expert Review,Transplant Centers,COVID-19 effect on Transplant centers,Complete suspension of live donor kidney transplants by 71.8% of centers and suspension of live donor liver transplants by 67.7% of centers.,surveys: 88,4/22/20
14,2020-04-13,Concise Communication: COVID-19 and the N95 Respirator Shortage: Closing the Gap,https://www.ncbi.nlm.nih.gov/pubmed/32279694,Infection Control and Hospital Epidemiology,Expert Review,Sterile services,PPE shortage,Investigating the use of ultraviolet germicidal irradiation (UVGI) to sterilize mask for safer reuse.,-,4/22/20
15,2020-04-13,Hospital Emergency Management Plan During the COVID‐19 Epidemic,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7159322/,Academic Emergency Medicine,Retrospective review,Critical Care Units,"The emergency department, PPE supplies, maintaining low infection rates of healthcare personnel, control of cross-infection, managing ED workload.","Use an online clinic for patient triage for ED care to determine urgency for care. Division of triage by suspicion of infection. Specialized ""fever clinic rooms"" to isolate patients with fevers during care. Subsequent quarantine of test-positive patients. ED requirement had the highest priority. The hospital established a capable command system, implemented effective coordination mechanisms, provided the ED with PPE and medical devices preferentially, equipped the triage and high‐risk‐region personnel with standardized personal protection, withdrew or postponed non urgent appointments and operations, and dispatched aid personnel from other departments to ED. These measures concentrated the limited supply through the hospital on the staff who mostly needed protection.",timeline: January 13-Feb 1,4/22/20
16,2020-04-11,Use of a Single Ventilator to Support Multiple Patients: Modeling Tidal Volume Response to Heterogeneous Lung Mechanics,https://www.medrxiv.org/content/10.1101/2020.04.07.20056671v1,medRXiv Preprint,Investigative study,Critical Care Units,Ventilator shortage,Assigning patients to pre-set ventilators based on their lung mechanics could be used to overcome some of the legitimate concerns of placing multiple patients on a single ventilator.,patients: 4,4/26/20
17,2020-04-11,Alternative Qualitative  Fit Testing Method for N95 Equivalent Respirators in the Setting of Resource Scarcity at the George Washington University,https://www.medrxiv.org/content/10.1101/2020.04.06.20055368v1,medRXiv Preprint,Investigative study,Sterile Services,PPE shortage,"Utilized qualitative fit testing using a nebulizer or ""atomizer"" and a sodium saccharin solution in water. If aerosolized saccharin entered candidate masks due to poor fit or inadequate filtration, then a sweet taste was detected in the user's mouth. Could be a valuable methodology for rapid prototyping, evaluation, and validation of fit in a non-clinical environment for use in creation of PPE. Method should not be used without confirmation in a formal qualitative or quantitative fit test but can be used to preserve resources until developers are confident that potential new N95 comparable respirators will pass",-,4/26/20
18,2020-04-10,Management of Ovarian cancer during the COVID-19 pandemic,https://www.ncbi.nlm.nih.gov/pubmed/32275775,International Journal of Gynaecology and Obstetrics,Expert Review,Surgical center,Hospital-bed shortage,"Send patients who require more aggressive surgery to neoadjuvant chemotherapy with the hope that at the end of chemotherapy, the peak of the pandemic has disappeared/the availability of intensive care beds has increased",-,4/22/20
19,2020-04-10,Nonmedical Masks in Public for Respiratory Pandemics: Droplet Retention by Two-Layer Textile Barrier Fully Protects Germ-free Mice from Bacteria in Droplets,https://www.biorxiv.org/content/10.1101/2020.04.06.028688v1,bioRXiv Preprint,Investigative study,General population,PPE shortage,"A mandatory recommendation to wear EDB-textile masks at a global scale will effectively help protect individuals from COVID-19 droplets. Further, embracing the use of homemade masks by non medical professionals or healthy individuals in lieu of N95 respirators and surgical masks may alleviate the seriousness of the mask supply shortage.",-,4/26/20
20,2020-04-09,Coping with COID-19: ventilator splitting with differential driving pressures using standard hospital equipment,https://www.ncbi.nlm.nih.gov/pubmed/32271942,Anaesthesia,Expert Review,Critical Care Units,Ventilator shortage,"Use ventilator splitting to simultaneously ventilate two lungs of different compliances, and using only standard hospital equipment, modify the delivered pressure, flow, and volume in each test lung.",-,4/22/20
21,2020-04-08,Possible consequences of a shortage of hydroxychloroquine for Lupus patients amid the COVID-19 pandemic,https://www.ncbi.nlm.nih.gov/pubmed/32269064,The Journal of Rheumatology,Expert Review,Patients with medication concerns,Hydroxychloroquine shortage,Rheumatologists must provide assurances if a few doses are missed and evidence based guidelines on the use of hydroxychloroquine for COVID-19. They must also urge protection of hydroxychloroquine supply for lupus patients,-,4/22/20
22,2020-04-07,A Simulated Single Ventilator / Dual Patient Ventilation Strategy for Acute Respiratory Distress Syndrome During the COVID-19 Pandemic,https://www.medrxiv.org/content/10.1101/2020.04.07.20056309v1,medRXiv Preprint,Investigative study,Critical Care Units,Ventilator shortage,"Using a modified ventilator splitting setup, it is possible to achieve the same tidal volumes in two patients with mismatched lung compliances, and the tidal volume of one patient can be manipulated independently of the other. In the standard setup using T-splitters, ventilating two patients with mismatched lung compliances will lead to clinically-significant reductions in tidal volume in the patient with the lower respiratory compliance.",-,4/26/20
23,2020-04-07,Face mask use in the general population and optimal resource allocation during the COVID-19 pandemic,https://www.medrxiv.org/content/10.1101/2020.04.04.20052696v1,medRXiv Preprint,Simulation,General population,PPE shortage,"Healthcare works and key personnel should have prioritized access to PPE. If production can be increased to be made available to the general population, an optimized deployment of these resources can limit the spread. Prioritized subpopulations also include the elderly, immunocompromised and others who may interact with these subpopulations.",-,4/26/20
24,2020-04-06,Challenges and solutions for addressing critical shortage of supply chain for personal and protective equipment (PPE) arising from Coronavirus disease (COVID19) pandemic - Case study from the Republic of Ireland.,https://www.ncbi.nlm.nih.gov/pubmed/32304970,The Science of the Total Environment,Case Series,General population,1. Volatile global supply chain,1. Smart communication channels to improve supply chain,-,4/22/20
25,2020-04-06,Challenges and solutions for addressing critical shortage of supply chain for personal and protective equipment (PPE) arising from Coronavirus disease (COVID19) pandemic - Case study from the Republic of Ireland.,https://www.ncbi.nlm.nih.gov/pubmed/32304970,The Science of the Total Environment,Case Series,General population,2. Not enough PPE production,2. Bespoke production to meet gaps,-,4/22/20
26,2020-04-06,Challenges and solutions for addressing critical shortage of supply chain for personal and protective equipment (PPE) arising from Coronavirus disease (COVID19) pandemic - Case study from the Republic of Ireland.,https://www.ncbi.nlm.nih.gov/pubmed/32304970,The Science of the Total Environment,Case Series,General population,3. Reprocessing of single-use PPE,3. Sterilization (Vaporized H2O2) or high-level disinfection (Actichlor+) for PPE reprocessing,-,4/22/20
27,2020-04-06,Calculated decisions: COVID-19 calculators during extreme resource-limited situations.,https://europepmc.org/article/med/32259419,Emergency Medicine Practice,Expert Review,Critical Care Units,Limited resources specifically respiratory devices and healthcare staff,Use of clinical prediction scores,patients: 44000,4/22/20
28,2020-04-06,Head and neck oncology during the COVID-19 pandemic: Reconsidering traditional treatment paradigms in light of new surgical and other multi level risks,https://www.sciencedirect.com/science/article/pii/S1368837520301202?via%3Dihub,Oral Oncology,Expert Review,Surgical center,Patient risk,"Temporarily favor nonsurgical therapy over surgery for most mucosal squamous cell carcinomas, wherein surgery and nonsurgical therapy are both first line options. Where surgery is traditionally preferred, recommend multidisciplinary evaluation of multilevel surgical-risks, discussion of possible alternative nonsurgical therapies, and shared-decision-making with the patient. Where surgery remains indicated, recommend judicious preoperative planning and development of COVID-19 specific perioperative protocols to maximize the safety and quality of surgical and oncologic care.",-,4/26/20
29,2020-04-06,Intensive care management of coronavirus disease 2019 (COVID-19): challenges and recommendations,https://www.thelancet.com/pdfs/journals/lanres/PIIS2213-2600(20)30161-2.pdf,The Lancet Respiratory Medicine,Expert Review,Critical Care Units,ICU Resource Shortages,"Prepare and plan for ICU surge in hospitals via the addition of ICU beds both within the existing ICU unit as well as in other hospital units. However, this expansion should only occur where adequate equipment can be provided. In the case of ventilator shortages, the use of transport, operating theatre, and military ventilators may be required. To reduce strain on ICUs, elective surgeries should be postponed, and lower-acuity patients discharged to other areas, including designated deescalation wards for recovering ICU patients with COVID-19 who might still require isolation. Triage for critical care units should be considered as well as rationing of resources in the case of insufficient resources to meet the demands. Preparations must also focus on potential staff shortages due to an overwhelming patient demand as well as potential loss of staff due to illness. Protection of the staff's overall wellness should be a priority to mitigate these potential problems. Staff from locations outside the ICU should also be recruited and appropriately trained to help meet the demands of an increased patient load.",-,4/29/20
30,2020-04-06,"Rapid evidence summary on SARS-CoV-2 survivorship and disinfection, and a reusable PPE protocol using a double-hit process",https://www.medrxiv.org/content/10.1101/2020.04.02.20051409v1,medRXiv Preprint,Expert Review,Sterile Services,PPE shortage,"This study proposes a two-step disinfection process, that includes initial storage of PPE for ≥4 days, followed by ultraviolet light (UVC), dry heat treatment, or chemical disinfection. It states that each of the two steps is based on independent disinfection mechanisms, so as to allow for maximum efficacy of the disinfection process.",-,4/30/20
31,2020-04-05,Opinion to address a potential personal protective equipment shortage in the global community during the COVID-19 outbreak,https://www.ncbi.nlm.nih.gov/pubmed/32292217,Polymer Degradation and Stability,Expert Review,Sterile Services,PPE shortage,Polymer Degradation and Stability community should focus on PPE and face mask recycling and collaborate with other fields to optimize material properties and functionality.,-,4/22/20
32,2020-04-04,Hospital surge capacity in a tertiary emergency referral centre during the COVID-19 outbreak in Italy,https://www.ncbi.nlm.nih.gov/pubmed/32246838,Anaesthesia,Expert Review,Critical Care Units,Hospital capacity,"Establishment of dedicates ICUs for COVID-19 positive patients, design of appropriate procedures for pre-triage, diagnosis, and isolation of suspected and confirmed cases, and training of all staff to work in the dedicated ICU in PPE use and patient management.",The hospital has used the approach described here to open other ICUs for invasive ventilatory support and level 2 areas for non‐invasive ventilatory support,4/22/20
33,2020-04-04,"Echo in Pandemic: Front Line Perspective, Expanding Role of Ultrasound and Ethics of Resource Allocation",https://www.onlinejase.com/article/S0894-7317(20)30218-2/pdf,Journal of the American Society of Echocardiography,Expert Review,Critical Care Units,Ventilator shortage,Ultrasonography is a tool for identifying the pulmonary manifestations and progressions of COVID-19. It may also facilitate successful weaning from mechanical ventilation. Echocardiography has an established role for optimal fluid management and recognition of cardiac disease including SARS-CoV-2 associated acute cardiomyopathy. There should be collaboration and cross-training to expand professional services and prepare for limited resource allocation,-,4/26/20
34,2020-04-03,Facemask shortage and the novel coronavirus disease (COVID-19) outbreak: Reflections on public health measures,https://www.ncbi.nlm.nih.gov/pubmed/32292898,EClinical Medicine,Expert Review,General population,PPE shortage,Monitor domestic facemask supplies and give priority to healthcare workers. Use caution prior to implementing a universal facemask wearing policy due to potential shortage concerns and societal panic. Public health measures aimed at improving hand hygiene and effective public communication should be considered.,-,4/22/20
35,2020-04-03,Medication Shortages During the COVID-19 Crisis: What We Must Do,https://www.mayoclinicproceedings.org/article/S0025-6196(20)30320-7/pdf,Mayo Clinic Proceedings,Expert Review,Government,Medication shortage,Boost medication supply: Mobilize state / federal stockpiles of critical medications to hospitals experiencing patient surges,-,4/26/20
36,2020-04-03,Medication Shortages During the COVID-19 Crisis: What We Must Do,https://www.mayoclinicproceedings.org/article/S0025-6196(20)30320-7/pdf,Mayo Clinic Proceedings,Expert Review,Government,Medication shortage,Boost medication supply: Institute a 24-hour turnaround for approving the importation of generic drugs or grant immediate reciprocal approval for selected generic drugs manufactured in other countries,-,4/26/20
37,2020-04-03,Medication Shortages During the COVID-19 Crisis: What We Must Do,https://www.mayoclinicproceedings.org/article/S0025-6196(20)30320-7/pdf,Mayo Clinic Proceedings,Expert Review,Government,Medication shortage,Boost medication supply: Collaborate with major pharmaceutical companies to boost manufacturing of approved drugs in short supply,-,4/26/20
38,2020-04-03,Medication Shortages During the COVID-19 Crisis: What We Must Do,https://www.mayoclinicproceedings.org/article/S0025-6196(20)30320-7/pdf,Mayo Clinic Proceedings,Expert Review,Government,Medication shortage,Boost medication supply: Encourage and fund generic drug manufacturing in the US,-,4/26/20
39,2020-04-03,Medication Shortages During the COVID-19 Crisis: What We Must Do,https://www.mayoclinicproceedings.org/article/S0025-6196(20)30320-7/pdf,Mayo Clinic Proceedings,Expert Review,Government,Medication shortage,Boost medication supply: Increase domestic manufacturing of active pharmaceutical ingredients,-,4/26/20
40,2020-04-03,Medication Shortages During the COVID-19 Crisis: What We Must Do,https://www.mayoclinicproceedings.org/article/S0025-6196(20)30320-7/pdf,Mayo Clinic Proceedings,Expert Review,Government,Medication shortage,"Boost medication supply: Establish centralized systems to track need, based on patient load, to inform manufacturing needs and shift supply rapidly and equitably",-,4/26/20
41,2020-04-03,Medication Shortages During the COVID-19 Crisis: What We Must Do,https://www.mayoclinicproceedings.org/article/S0025-6196(20)30320-7/pdf,Mayo Clinic Proceedings,Expert Review,Government,Medication shortage,"Minimize cost: Use a ""Netflix"" option for new antiviral drugs and vaccines, where manufacturers receive fixed reimbursement for an unlimited supply",-,4/26/20
42,2020-04-03,Medication Shortages During the COVID-19 Crisis: What We Must Do,https://www.mayoclinicproceedings.org/article/S0025-6196(20)30320-7/pdf,Mayo Clinic Proceedings,Expert Review,Government,Medication shortage,Minimize cost: Authorize medicare to negotiate prices for COVID-19 related drugs,-,4/26/20
43,2020-04-03,Medication Shortages During the COVID-19 Crisis: What We Must Do,https://www.mayoclinicproceedings.org/article/S0025-6196(20)30320-7/pdf,Mayo Clinic Proceedings,Expert Review,Government,Medication shortage,Minimize cost: Be willing to issue compulsory licensing for medications,-,4/26/20
44,2020-04-03,Medication Shortages During the COVID-19 Crisis: What We Must Do,https://www.mayoclinicproceedings.org/article/S0025-6196(20)30320-7/pdf,Mayo Clinic Proceedings,Expert Review,Government,Medication shortage,Minimize cost: Prohibit deductibles and rebates for COVID-19 specific drugs,-,4/26/20
45,2020-04-03,Rural Healthcare Center Preparation and Readiness Response to Threat of COVID-19,https://www.journalacs.org/article/S1072-7515(20)30311-2/pdf,Journal of the American College of Surgeons,Expert Review,Healthcare providers,Resource shortage,"Conserve resources for urgent and emergent needs. Follow the guidelines published by national societies, but they need to be more straightforward with specific guidance from informed and well-respected resources. Early graduation of medical students but maintain appropriate oversight to maintain high-quality training for new providers and provide safe, effective, and reliable care to patients. Be cautious in transitioning to a healthcare system that is overly reliant on remote communication before basic internet access is established for all Americans.","rural, 267-bed, tertiary-care teaching hospital",4/26/20
46,2020-04-02,Ensuring mental health care during the SARS-CoV-2 epidemic in France: A narrative review,https://www.ncbi.nlm.nih.gov/pubmed/32312567,L'Encéphale,Expert Review,Mental Health Providers,Mental health healthcare system under-prepared for at risk patients,Increase telemedicine. Increase internist/infectious disease specialist at psychiatric units. Increase nurse training to limit exposure,Countries: 1,4/22/20
47,2020-04-02,Care of Patients with Liver disease during the COVID-19 pandemic: EASL-ESCMID position paper,https://www.ncbi.nlm.nih.gov/pubmed/32289115,JHEP Reports: Innovation in Hepatology,Expert Review,Patients,Lack of healthcare for chronic liver disease patients,"Hepatologists promote telemedicine in outpatient setting, prioritize outpatient contacts, avoid nosocomial dissemination of virus, and maintain standard of care for patients who require immediate attention",-,4/22/20
48,2020-04-02,Fangcang shelter hospitals: a novel concept for responding to public health emergencies,https://www.thelancet.com/pdfs/journals/lancet/PIIS0140-6736(20)30744-3.pdf,Lancet,Expert Review,Patients,Bed Shortage,"Use Fangcang shelter hospitals with their three characteristics of rapid construction, massive scale, and low cost with the five essential functions of isolation, triage, basic medical care, frequent monitoring, and rapid referral and essential living and social engagement",-,4/26/20
49,2020-04-01,Emerging infectious diseases and outbreaks: implications for women’s reproductive health and rights in resource-poor settings,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7112750/,Reproductive Health,Expert Review,Patients,"Potential for disproportionate disadvantages for women in resource-poor areas due to resource constraint in pandemic situations: Reduced access to sexual and reproductive health, increased maternal and childhood mortality rates, and structural barriers to access and delivery of care","Recognition of current needs and lack of resources in this realm and consequent proper preparation for necessary government support post-pandemic for these issues. Promote advocacy, raise awareness. Provide effective health facilities and health delivery systems.",-,4/22/20
50,2020-04-01,Strategic planning and recommendations for healthcare workers during the COVID-19 pandemic,https://www.ajemjournal.com/article/S0735-6757(20)30213-8/full text,The American Journal of Emergency Medicine,Expert Review,Healthcare providers,Conservation and strategic allocation of resources during the COVID-19 pandemic response,Transition staff working in fields such as elective surgery to critical care. Postpone elective operations. Allocate a reserve of staff to include newly matched 4th year medical students to increase the workforce as needed. Call upon the recently retired workforce. Train non-ICU staff on critical care medicine. Reallocate resources from surgery including PPE and ventilators to areas of need in the hospital. Strict triage of patients. Overall recommendation is to decrease surgeries and surgical staff.,-,4/22/20
51,2020-04-01,Demand for hospitalization services for COVID-19 patients in Brazil,https://www.medrxiv.org/content/10.1101/2020.03.30.20047662v1,medRXiv Preprint,Simulation,Critical Care Units,Resource shortage,"Postpone elective procedures. Temporarily put all the private hospitals under the control of the state to alleviate high population dense areas rapid spread. This will postpone shortages by only a week. Solutions that do not involve opening new facilities have very short effect on timing of shortage. Repurpose large spaces to build makeshift hospitals for additional beds, call on industry to produce necessary equipment which is provided to hospitals at minimum or no cost to mitigate the stress on healthcare system. Mobilize community leaders to convey a unique message to the population. Increase availability of tests.",-,4/26/20
52,2020-03-31,The Essential Role of Patient Blood Management in a Pandemic: A Call for Action,https://www.ncbi.nlm.nih.gov/pubmed/32243296,Anesthesia and Analgesia,Expert Review,Patients,Lack of Blood supply,"Enact regional and national shortage plans worldwide, and disseminate the knowledge of and immediate implementation of Patient Blood Management (PBM). PBM is an bund of care to optimize medical and surgical patient outcomes by clinically managing and preserving a patient's own blood",-,4/22/20
53,2020-03-31,Creating a Palliative Care Inpatient Response Plan for COVID19- The UW Medicine Experience,https://www.jpsmjournal.com/article/S0885-3924(20)30176-7/pdf,Journal of Pain and Symptom Management,Expert Review,"Healthcare providers, Emergency room, CCUs, and Patients",Crisis standards of care,"Develop a strategy for palliative care in both contingency capacity and crisis capacity. As increasing stress is placed on the healthcare system, there are strategies in place for the ED, intensive care units, and acute care services. Reallocation of non-palliative care workforce to palliative care services. Implementation of PPE preservation by using PPE only when absolutely necessary. On-call palliative care attending physician provide coaching to primary team as well as telephonic support to patients and families. Routine palliative care consultation this time will be triaged and postponed where possible. Importance of early goals-of-care discussions and addressing code status especially for older patients.",-,4/26/20
54,2020-03-30,Caring for children and adolescents with eating disorders in the current COVID-19 Pandemic: A Singapore perspective,https://www.jahonline.org/article/S1054-139X(20)30153-1/pdf,Journal of Adolescent Health,Expert Review,General healthcare system,Adapting care to restrictions,"In response to infection control requirements, they have instituted modular staffing for inpatient and outpatient settings, necessitating task shifting and an increased use of technology for communication. Due to reduced outpatient capacity and the need to minimize non-urgent trips to the hospital, they have implemented telemedicine and have leveraged on partnerships with school counselors and other community partners. Responsive to families' and patients' health and financial concerns.",-,4/26/20
55,2020-03-29,Novel Coronavirus 2019 (2019-nCoV) Infection: Part I - Preparedness and Management in the Pediatric Intensive Care Unit in Resource-limited Settings.,https://indianpediatrics.net/apr2020/324.pdf,Indian Pediatrics,Expert Review,Critical Care Units,Managing resources in the PICU,Create Cohort PICUs that are in a separate location for COVID-19 Pediatric patients,-,4/22/20
56,2020-03-29,Novel Coronavirus 2019 (2019-nCoV) Infection: Part I - Preparedness and Management in the Pediatric Intensive Care Unit in Resource-limited Settings.,https://indianpediatrics.net/apr2020/324.pdf,Indian Pediatrics,Expert Review,Critical Care Units,Managing resources in the PICU,"Set up isolation rooms with negative pressure and when not available anymore, use single rooms with separate air outlet/exhaust, preferably on the higher floor of the building.",-,4/22/20
57,2020-03-29,Novel Coronavirus 2019 (2019-nCoV) Infection: Part I - Preparedness and Management in the Pediatric Intensive Care Unit in Resource-limited Settings.,https://indianpediatrics.net/apr2020/324.pdf,Indian Pediatrics,Expert Review,Critical Care Units,Managing resources in the PICU,Reduce ICU burden via cancellation of elective surgeries,-,4/22/20
58,2020-03-29,Novel Coronavirus 2019 (2019-nCoV) Infection: Part I - Preparedness and Management in the Pediatric Intensive Care Unit in Resource-limited Settings.,https://indianpediatrics.net/apr2020/324.pdf,Indian Pediatrics,Expert Review,Critical Care Units,Managing resources in the PICU,Reallocate staff for CCU work from other hospital positions who are trained to deal with diseases such as COVID-19,-,4/22/20
59,2020-03-29,Novel Coronavirus 2019 (2019-nCoV) Infection: Part I - Preparedness and Management in the Pediatric Intensive Care Unit in Resource-limited Settings.,https://indianpediatrics.net/apr2020/324.pdf,Indian Pediatrics,Expert Review,Critical Care Units,Managing resources in the PICU,Rotation of staff and reserve for back-up in case of emergency or staff falling sick.,-,4/22/20
60,2020-03-29,Novel Coronavirus 2019 (2019-nCoV) Infection: Part I - Preparedness and Management in the Pediatric Intensive Care Unit in Resource-limited Settings.,https://indianpediatrics.net/apr2020/324.pdf,Indian Pediatrics,Expert Review,Critical Care Units,Managing resources in the PICU,"Training of all staff on: infection control, PPE use, and disinfection of surfaces and equipments.",-,4/22/20
61,2020-03-29,Novel Coronavirus 2019 (2019-nCoV) Infection: Part I - Preparedness and Management in the Pediatric Intensive Care Unit in Resource-limited Settings.,https://indianpediatrics.net/apr2020/324.pdf,Indian Pediatrics,Expert Review,Critical Care Units,Managing resources in the PICU,"Rational use of PPE: Follow WHO guidelines including co-ordination of PPE supply chain management, appropriate PPE use based on indication, minimizing the need of PPE by bundling activities, using physical barriers and telemedicine, restrict visitors",-,4/22/20
